Company Name,Membership No,Membership Type,Establishment,Logo URL,Short Profile,Address,Area,Postcode,Phone,Email,Company Website,Legal Structure,Valid Till,Services
Webtricker Web Design & Development Agency,22-04-021,General,March 2014,https://basis.org.bd/images/logo/1d8c2e0f7d0fc534121c469b947bfa1509052022055659.png,"Welcome to Webtricker, your all-in-one solution for website design and development! At Webtricker, we pride ourselves on providing a comprehensive range of services to help you create a stunning and effective website. Whether you need help with branding, web design, or web development, we have the expertise and experience to deliver outstanding results.  Our team of skilled designers and developers work closely with you to understand your needs and preferences, ensuring that your website perfectly reflects your brand and meets your goals. We offer a wide range of design and development services, including custom website design, e-commerce solutions, content management systems, and more.  But our services don't stop there. We also provide reliable and secure hosting options to ensure that your website runs smoothly and is always accessible to your visitors. Our hosting solutions come with robust security features to protect your website from potential threats, and we offer regular backups and maintenance to ensure optimal performance.  So, if you're looking for a reliable and experienced partner for your website design and development needs, look no further than Webtricker. Contact us today to learn more about how we can help you create the website of your dreams!","Bagerhata, Zia College Moar (Beside Shahid Minar)",Jamalpur,2000,01712377577,md.rashidh@gmail.com,http://www.webtricker.com/,Proprietorship,,Web Development
Aalpin Digital,22-08-015,General,September 2019,https://basis.org.bd/images/logo/68341d16653f7b865f968370bcd8560931082022084049.jpeg,"Aalpin Digital was formed in 2019, although the journey started in 2008 in the IT industry. Since then we have been providing customers services such as 360 degree Digital Marketing, Web and Mobile Application Development, Remote talent solutions. Teamwork and excellent communications skills are in our DNA.","House-5, Road-17, Block-D, Banani",,1213,01551805808,info@aalpin.com,http://www.aalpin.com,Proprietorship,,Web Development
Increments Inc.,22-10-008,General,April 2016,https://basis.org.bd/images/logo/77a694f6e9cb4b3a888fd4755074b1c325012023013344.png,"Elevating enterprise automation to artistry. Seamlessly blending AI, ML, AR, and VR for unparalleled cross-platform experiences.","23, Gareeb-e-Newaz Ave, Sector-13, Uttara",Uttara,1230,01308042284,info@incrementsinc.com,https://www.incrementsinc.com,Proprietorship,,"Mobile App Development, Custom Solution, Information technology consulting, Web Development, UI/UX Design and Development, Enterprise application integration (EAI), AI Integration"
Core Devs ltd,23-03-029,General,January 2021,https://basis.org.bd/images/logo/4f41567d91ea60d3a3f502e6cddc32b411032023030002.jpg,"Core Devs Ltd is a Blockchain & Automation Development company that provides any sort of custom solution to a problem. Our team is knowledgeable in both web2 and web3 technologies, allowing us to provide our clients with any services they require in this ever-changing industry. We make every effort to be open and honest with our clients and partners. We believe that trust is an essential component of any business.","Core Devs Ltd., Level - 5, House-1041, Avenue-09,  Mirpur DOHS, Dhaka",Mirpur,1216,01894945337,support@coredevs.ltd,http://www.coredevsltd.com,Limited Company,,"Web Development, Task Automation, Trading Automation, SaaS Development, Smart Contract Development, dApps Development, Blockchain Development, Data Scraping & Filtering"
F. A. Creative Firm Limited,23-04-044,General,November 2012,https://basis.org.bd/images/logo/9bc945665a2c74be9cb3920b6dd0afef21042024044602.jpg,"“F.A.CREATIVE FIRM LIMITED” is one of the reputed leading IT company in Bangladesh for the since 13 November 2012 as an innovative firm. This company is famous for producing her magnificent creation of web design, software, mobile apps development, creative graphic design, multimedia, etc.  Also, we are providing services first-class Domain & Hosting, Digital Marketing, and Printing solution to customers.","Shikkhok Bhaban (4th Floor: East), Andorkilla Square, Andorkilla, Kotwali, Chattogram",Chattogram,4000,01781881199,facreative.bd@gmail.com,https://facreative.biz/,Limited Company,,"Software Dvelopment, Web Development, Apps Development, Domain and Hosting"
LEVEL7,24-03-685,General,December 2020,https://basis.org.bd/images/logo/02f3ee978d0d48741cc5704aac41613316032024033002.png,"Since it's inception LEVEL7 has been Making Brands Matter, providing 360 services from digital presence to physical branding and campaigns to it's clients.","229/1, Road - 10/A (Old19), West Dhanmondi - Dhaka",Dhanmondi,1209,01902777000,sohan@level7ltd.com,www.level7ltd.com,Proprietorship,,"Cross-Platform App Development, Game Development, Web Development, Events and Activation"
MRZ International,24-03-697,General,July 2018,https://basis.org.bd/images/logo/914e0c0a65e9d359770fb85657aa093212032024033309.png,"MRZ International is a well-established and reputed business house in the country, and the leading concern of MRZ Group. It is an active member of the Indenting Association of Bangladesh, India-Bangladesh Chamber of Commerce & Industry and also enlisted with Ministry of Defense (MOD), Naval Stores Dept Chittagong, Naval Stores Sub-Depot Dhaka, Bangladesh Police, Border Guard Bangladesh (BGB), Bangladesh Coast Guard and Rapid Action Battalion (RAB).  It has gained substantial success in dealing with the Defense sector. It offers a comprehensive inventory for the Defense industry including a wide range of products for diversified sector.  MRZ International is a dynamic player in the Information and Communication Technology (ICT) sector. Since its inception in 2018, the company has been at the forefront of delivering cutting-edge solutions through a global team of skilled professionals.  Presently MRZ International is focused on the ship building sector and closely working with Khulna Shipyard Ltd, Dockyard Engineering Works, Narayangonj, Chittagong Dry Dock Ltd as a local partner of various world renowned shipyards.","House # 11/A-1, Road # 41, Gulshan-2, Dhaka-1212, Bangladesh",Gulshan,1212,+8801991198318,info@mrzinternational.com,https://www.mrzinternational.com/,Proprietorship,,"Web Development, Web Development, Digital Services, Digital Services"
MRZ International,24-03-697,General,July 2018,https://basis.org.bd/images/logo/914e0c0a65e9d359770fb85657aa093212032024033309.png,"MRZ International is a well-established and reputed business house in the country, and the leading concern of MRZ Group. It is an active member of the Indenting Association of Bangladesh, India-Bangladesh Chamber of Commerce & Industry and also enlisted with Ministry of Defense (MOD), Naval Stores Dept Chittagong, Naval Stores Sub-Depot Dhaka, Bangladesh Police, Border Guard Bangladesh (BGB), Bangladesh Coast Guard and Rapid Action Battalion (RAB).  It has gained substantial success in dealing with the Defense sector. It offers a comprehensive inventory for the Defense industry including a wide range of products for diversified sector.  MRZ International is a dynamic player in the Information and Communication Technology (ICT) sector. Since its inception in 2018, the company has been at the forefront of delivering cutting-edge solutions through a global team of skilled professionals.  Presently MRZ International is focused on the ship building sector and closely working with Khulna Shipyard Ltd, Dockyard Engineering Works, Narayangonj, Chittagong Dry Dock Ltd as a local partner of various world renowned shipyards.","House # 11/A-1, Road # 41, Gulshan-2, Dhaka-1212, Bangladesh",Gulshan,1212,+8801991198318,info@mrzinternational.com,https://www.mrzinternational.com/,Proprietorship,,"Web Development, Web Development, Digital Services, Digital Services"
Khan IT Host,24-06-068,General,January 2020,https://basis.org.bd/images/logo/4233c2a52d127b98578abbd2bbfcfefb03072024071722.png,"Founded in 2020, Khan IT Host quickly became a leading provider of comprehensive Software & Information Technology Services. Over the years, we've diligently served diverse sectors, including Educational Institutes, Press & Media, E-commerce, and Enterprises. Our commitment to innovation and unwavering support solidies us as a trusted industry partner. Guided by a passion for technological advancement, we continue to advance our ser- vices, adapting to meet the dynamic needs of our clients. Our dedicated team blends expertise with creativity, ensuring tailored solutions that drive business success. Committed to excellence, we pride ourselves on delivering reliable, cutting-edge IT solutions that empower our clients to thrive in the ever-evolving digital landscape. Additionally, Mr. Md Mostafa Khan, Founder of Khan IT Host, has been honored with numerous prestigious awards, including the Human Rights Peace Award-2021, Shere Bangla Golden Award-2022, Mujib Barsha Independence Award-2022, and others. These recognitions highlight his outstanding contributions, reecting Khan IT Host's ethos of innovation and commitment to societal well-being.","Khan Super Market, Tolatuly Bazar, Raipura, Narsingd",Narsingdi,1630,01920080106,khanithost@gmail.com,http://www.khanithost.com,Proprietorship,,"School Management Software, Web Development, Web Hosting, Website Maintanance, Somobay Somity Software, Diagnostic Software, Business Management Software"
UnivaHost,24-06-078,General,September 2017,https://basis.org.bd/images/logo/61859822915f40365444502be78e30cc11062024065114.png,"UnivaHost is leading World-Wide Domain Hosting Platform. UnivaHost is a dedicated web hosting company that offers World-wide Domain Hosting, Reseller Hosting, Shared Hosting, VPS server, Dedicated Server, Cheap rate Domain name at affordable price. So, let's come, join us and spark your business with us.","15, 1012/1 Ahmed Plaza, Level 2, Court Road, Brahmanbaria",Brahmanbaria,3400,01866645045,mail@univahost.com,https://univahost.com,Proprietorship,,"Web Hosting, Web Development, Website Maintanance, Web Consultation"
